years_maddison,gdppc_maddison2016,years_broadberry,gdppc_broadberry,years_TED,gdppc_TED,years_q1,gdppc_q1,years_q2,gdppc_q2
1,800.00,1300.00,1482.00,1950,3501.900011,1.00,800,1,800
1300,1619.95,1348.00,1376.00,1951,3738.49593,2.00,800.6298669,1310,1708.621619
1348,1515.43,1400.00,1601.00,1952,3997.419544,3.00,801.2597338,1311,1676.353846
1400,1750.59,1450.00,1668.00,1953,4259.816085,4.00,801.8896007,1312,1689.868602
1500,1532.85,1500.00,1403.00,1954,4449.036212,5.00,802.5194676,1313,1691.335324
1570,1458.82,1570.00,1337.00,1955,4675.61121,6.00,803.1493346,1314,1709.669294
1600,1363.02,1600.00,1244.00,1956,4858.83363,7.00,803.7792015,1315,1737.64169
1650,1397.86,1650.00,1271.00,1957,5118.376642,8.00,804.4090684,1316,1739.108412
1700,1476.24,1700.00,1350.00,1958,5360.012936,9.00,805.0389353,1317,1704.431033
1750,1532.85,1750.00,1403.00,1959,5653.134532,10.00,805.6688022,1318,1705.897755
1800,1363.02,1800.00,1244.00,1960,5916.239023,11.00,806.2986691,1319,1724.231724
1801,1345.60,1820.00,1376.00,1961,6373.151344,12.00,806.928536,1320,1701.602378
1802,1389.15,1850.00,1350.00,1962,6826.8323,13.00,807.5584029,1321,1712.707527
1803,1428.34,,,1963,7262.389572,14.00,808.1882699,1322,1668.391721
1804,1489.31,,,1964,7487.044624,15.00,808.8181368,1323,1643.352768
1805,1441.40,,,1965,7598.423455,16.00,809.4480037,1324,1664.096344
1806,1476.24,,,1966,7942.409558,17.00,810.0778706,1325,1692.068741
1807,1480.60,,,1967,8453.702596,18.00,810.7077375,1326,1700.764283
1808,1563.34,,,1968,9105.358713,19.00,811.3376044,1327,1680.544544
1809,1572.05,,,1969,9566.385956,20.00,811.9674713,1328,1660.324805
1810,1450.11,,,1970,9718.511175,21.00,812.5973382,1329,1616.008998
1811,1402.21,,,1971,9839.460796,22.00,813.2272052,1330,1622.294934
1812,1432.70,,,1972,10060.28375,23.00,813.8570721,1331,1681.592219
1813,1471.89,,,1973,10634.06153,24.00,814.486939,1332,1704.745402
1814,1489.31,,,1974,11046.19453,25.00,815.1168059,1333,1667.658416
1815,1423.99,,,1975,10741.8689,26.00,815.7466728,1334,1659.486711
1816,1402.21,,,1976,11385.27342,27.00,816.3765397,1335,1656.134219
1817,1415.28,,,1977,11668.15572,28.00,817.0064066,1336,1679.287402
1818,1524.14,,,1978,12064.22964,29.00,817.6362735,1337,1702.440585
1819,1511.08,,,1979,12719.76456,30.00,818.2661405,1338,1689.449667
1820,1511.08,,,1980,13149.3818,31.00,818.8960074,1339,1654.772287
1821,1484.95,,,1981,13199.7017,32.00,819.5258743,1340,1685.15429
1822,1502.37,,,1982,13252.40243,33.00,820.1557412,1341,1732.403541
1823,1515.43,,,1983,13391.45811,34.00,820.7856081,1342,1700.135768
1824,1554.63,,,1984,13719.271,35.00,821.415475,1343,1629.314287
1825,1532.85,,,1985,14096.24314,36.00,822.0453419,1344,1630.781009
1826,1576.40,,,1986,14495.83003,37.00,822.6752088,1345,1651.524585
1827,1550.27,,,1987,14945.78598,38.00,823.3050758,1346,1614.437599
1828,1532.85,,,1988,15522.80081,39.00,823.9349427,1347,1635.181175
1829,1528.50,,,1989,15969.20091,40.00,824.5648096,1348,1706.526494
1830,1506.73,,,1990,16313.12866,41.00,825.1946765,1349,1695.945182
1831,1558.98,,,1991,16563.71872,42.00,825.8245434,1350,1803.434603
1832,1572.05,,,1992,16644.90166,43.00,826.4544103,1351,1730.203514
1833,1580.76,,,1993,16451.60793,44.00,827.0842772,1352,1661.79164
1834,1593.82,,,1994,16772.71906,45.00,827.7141441,1353,1701.81207
1835,1637.37,,,1995,17227.87258,46.00,828.344011,1354,1749.061321
